"model","predictors","elpd","elpd_se","elpd_loo","elpd_loo_se","p_loo_loo","p_loo_loo_se","pareto_k_max","F_score","MCC","n_correct_test","n_correct_train","percent_pos","percent_neg","percent_total","elpd_diff","elpd_diff_se","elpd_diff_loo","elpd_diff_se_loo","percent_test","percent_train","n_correct_test_adj","n_correct_train_adj","percent_test_adj","percent_train_adj"
"c5.4","dpi_idx, assay_idx, age_idx, sp_idx",-312.25376413857,10.9363719387223,-313.080561284001,11.0732703453775,7.56227055720901,0.444912948106839,0.156022975264661,0.618962432915921,0.527175350392421,403,3677,54.2319749216301,93.2730923694779,83.8022813688213,-10.8289564480694,8.14868679038954,-9.82206483419413,4.28709314671383,71.7081850533808,72.6967180703836,1102,9968,83.8022813688213,84.2247570764681
"c5.5","dpi_idx, assay_idx, age_idx, sex_idx",-311.441369001019,10.992413105049,-312.266017699852,11.0703765608399,6.98807826286766,0.390413749451371,0.15920377202485,0.612612612612613,0.521254523103921,401,3704,53.2915360501567,93.3734939759036,83.6501901140685,-10.016561310519,8.18014193331016,-9.00752125004459,4.29194045115961,71.3523131672598,73.230525899565,1100,9995,83.6501901140685,84.4528939585974
"c5.6","dpi_idx, assay_idx, age_idx, tg_idx",-312.071939735415,11.0108853072086,-312.821523718784,11.1294210857518,6.98882257194605,0.549731299619228,0.412767659959836,0.624775583482944,0.535737514598143,407,3684,54.5454545454545,93.574297188755,84.106463878327,-10.6471320449145,8.79132254208131,-9.56302726897658,4.6166744622008,72.4199288256228,72.8351126927639,1106,9975,84.106463878327,84.2839036755387
"c6.1","dpi_idx, assay_idx, age_idx, st_idx, cell_idx",-312.007678130787,11.1370758062609,-312.480189762436,11.2527820170597,8.19631558762097,0.46707908953927,0.233005942542959,0.625659050966608,0.530581857329549,403,3673,55.7993730407524,92.7710843373494,83.8022813688213,-10.5828704402865,7.8944188721174,-9.22169331262823,4.17178682008745,71.7081850533808,72.6176354290233,1102,9964,83.8022813688213,84.1909590198564
"c6.2","dpi_idx, assay_idx, age_idx, st_idx, log10_dose_pfu",-311.45803490917,11.3022975451666,-311.907962475307,11.3907105466698,7.15605798469844,0.410258078869868,0.154592304101327,0.627240143369176,0.538348329512616,408,3718,54.858934169279,93.574297188755,84.1825095057034,-10.0332272186699,7.98332253660543,-8.64946602550018,4.16583387779923,72.5978647686833,73.5073151443258,1107,10009,84.1825095057034,84.5711871567385
"c6.3","dpi_idx, assay_idx, age_idx, st_idx, sp_idx",-311.313323047297,11.1278478245181,-312.246229298518,11.3090362647214,8.45971997876314,0.487234738257579,0.152554463917533,0.626548672566372,0.533741569377824,405,3707,55.4858934169279,93.0722891566265,83.9543726235741,-9.88851535679703,7.23604589921232,-8.98773284871005,3.84291290997016,72.0640569395018,73.2898378805852,1104,9998,83.9543726235741,84.4782425010562
"c6.4","dpi_idx, assay_idx, age_idx, st_idx, sex_idx",-309.799326672714,11.1891166551748,-310.826305204047,11.2806336706616,7.91454241280839,0.440902394114566,0.161156633098285,0.624113475177305,0.531128635072581,404,3701,55.1724137931034,93.0722891566265,83.8783269961977,-8.37451898221332,6.83403149634837,-7.56780875424037,3.62017831055331,71.8861209964413,73.1712139185449,1103,9992,83.8783269961977,84.4275454161386
"c6.5","dpi_idx, assay_idx, age_idx, st_idx, tg_idx",-309.757643108146,11.3307007676667,-310.571853756949,11.4815464503221,7.67153053186297,0.531450909361757,0.342944970651382,0.630088495575221,0.538290866852768,407,3712,55.7993730407524,93.1726907630522,84.106463878327,-8.33283541764615,7.55108501717595,-7.31335730714177,4.01478722105101,72.4199288256228,73.3886911822855,1106,10003,84.106463878327,84.5204900718209
"c7.1","dpi_idx, assay_idx, age_idx, st_idx, tg_idx, cell_idx",-310.986741372717,11.4656391089973,-311.62315434725,11.6075867001553,9.38439537283181,0.601780229053906,0.328094851311892,0.6282722513089,0.53200599180107,403,3709,56.4263322884012,92.570281124498,83.8022813688213,-9.56193368221636,7.56614526463461,-8.36465789744299,4.01809595959181,71.7081850533808,73.3293792012653,1102,10000,83.8022813688213,84.4951415293621
"c7.2","dpi_idx, assay_idx, age_idx, st_idx, tg_idx, log10_dose_pfu",-310.36692858728,11.505250316526,-311.095719826783,11.6075244432159,8.42195829911176,0.582448509915169,0.286686112793458,0.628571428571429,0.538969570543207,408,3729,55.1724137931034,93.4738955823293,84.1825095057034,-8.9421208967799,7.49155211984281,-7.83722337697564,3.94735643008627,72.5978647686833,73.7247924080664,1107,10020,84.1825095057034,84.6641318124208
"c7.3","dpi_idx, assay_idx, age_idx, st_idx, tg_idx, sp_idx",-310.773282593592,11.3912332286115,-312.016952290403,11.6094193504898,9.6317779179746,0.610531123712813,0.296781956858633,0.631016042780749,0.541572999598304,409,3731,55.4858934169279,93.4738955823293,84.2585551330799,-9.34847490309124,7.07653918553413,-8.7584558405955,3.77714304001015,72.7758007117438,73.7643337287465,1108,10022,84.2585551330799,84.6810308407267
"c7.4","dpi_idx, assay_idx, age_idx, st_idx, tg_idx, sex_idx",-308.561942289722,11.4569832455369,-310.063401432828,11.6263318233269,9.25645333781507,0.615877596964439,0.343787384456784,0.633628318584071,0.542840164327712,409,3736,56.1128526645768,93.2730923694779,84.2585551330799,-7.13713459922121,6.31750778611355,-6.80490498302124,3.38727243200726,72.7758007117438,73.8631870304468,1108,10027,84.2585551330799,84.7232784114913
"c8.1","dpi_idx, assay_idx, age_idx, st_idx, tg_idx, sex_idx, cell_idx",-308.673461006053,11.5651698070315,-309.925297631209,11.6949581305699,10.7058675925245,0.658312640458951,0.266010031564996,0.645614035087719,0.55576349915732,414,3772,57.6802507836991,93.2730923694779,84.638783269962,-7.24865331555225,5.86535171798994,-6.66680118140146,3.12536290483287,73.6654804270463,74.5749308026888,1113,10063,84.638783269962,85.027460920997
"c8.2","dpi_idx, assay_idx, age_idx, st_idx, tg_idx, sex_idx, log10_dose_pfu",-309.349527930391,11.5737731778118,-310.595071352411,11.7041285475672,9.65608083763662,0.64055165987382,0.269027400078721,0.639575971731449,0.549976282474496,412,3740,56.7398119122257,93.3734939759036,84.4866920152091,-7.9247202398904,6.51608806848743,-7.33657490260346,3.44842938470738,73.3096085409253,73.942269671807,1111,10031,84.4866920152091,84.7570764681031
"c8.3","dpi_idx, assay_idx, age_idx, st_idx, tg_idx, sex_idx, sp_idx",-309.616676434187,11.538581477976,-311.292469408154,11.7648783659935,10.9543795316263,0.687396952439362,0.36839508766627,0.635879218472469,0.546765359158046,411,3758,56.1128526645768,93.4738955823293,84.4106463878327,-8.191868743687,5.8842327814935,-8.0339729583467,3.19156494081799,73.1316725978648,74.298141557928,1110,10049,84.4106463878327,84.9091677228559
"c9.1","dpi_idx, assay_idx, age_idx, st_idx, tg_idx, sex_idx, cell_idx, log10_dose_pfu",-304.304811579157,11.8017999300066,-305.686926934756,11.9468447473244,11.2300457505147,0.834195251152573,0.377740166630927,0.643109540636042,0.554518486513222,414,3795,57.0532915360502,93.4738955823293,84.638783269962,-2.88000388865646,4.95165262308411,-2.42843048494809,2.56567271122856,73.6654804270463,75.0296559905101,1113,10086,84.638783269962,85.2217997465146
"c9.2","dpi_idx, assay_idx, age_idx, st_idx, tg_idx, sex_idx, cell_idx, sp_idx",-306.98618497375,11.6389984694466,-308.562790727425,11.8540308706371,12.5070781169415,0.782488878685915,0.29412631839783,0.649122807017544,0.560277826707288,416,3791,57.9937304075235,93.3734939759036,84.7908745247148,-5.56137728324939,3.70876927251194,-5.30429427761709,2.01145067121255,74.0213523131673,74.9505733491499,1115,10082,84.7908745247148,85.1880016899028
"c10.1","dpi_idx, assay_idx, age_idx, st_idx, tg_idx, sex_idx, cell_idx, log10_dose_pfu, sp_idx",-301.4248076905,11.9096488041667,-303.258496449807,12.1493544909889,13.2252971442136,0.997822826700947,0.365613876043092,0.649029982363316,0.56162879775607,417,3851,57.6802507836991,93.574297188755,84.8669201520913,0,0,0,0,74.1992882562278,76.1368129695532,1116,10142,84.8669201520913,85.694972539079
