"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"f5.1",0,0,-821.17747630533,32.9009881095297,31.5127187752714,3.89458106668613,1642.35495261066,65.8019762190595
"f8.1",-10.4934447868713,4.02139508427515,-831.6709210922,32.9666385476782,39.1178846560172,4.39639228282984,1663.3418421844,65.9332770953564
"f1",-198.192414407545,20.778498072181,-1019.36989071287,28.4331027535845,4.80432547969622,0.422526690282541,2038.73978142575,56.866205507169
